arrondissement_nom,officines,habitants,densite_pour_10000,arrondissement_code
1er arrondissement de Paris,16 officines,18000,9,75101
2ème arrondissement de Paris,15 officines,24000,6,75102
3ème arrondissement de Paris,18 officines,36000,5,75103
4ème arrondissement de Paris,21 officines,29000,7,75104
5ème arrondissement de Paris,36 officines,61000,6,75105
6ème arrondissement de Paris,27 officines,44000,6,75106
7ème arrondissement de Paris,31 officines,58000,5,75107
8ème arrondissement de Paris,36 officines,42000,9,75108
9ème arrondissement de Paris,44 officines,61000,7,75109
10ème arrondissement de Paris,47 officines,96000,5,75110
11ème arrondissement de Paris,68 officines,160000,4,75111
12ème arrondissement de Paris,56 officines,150000,4,75112
13ème arrondissement de Paris,52 officines,190000,3,75113
14ème arrondissement de Paris,51 officines,140000,4,75114
15ème arrondissement de Paris,81 officines,240000,3,75115
16ème arrondissement de Paris,70 officines,180000,4,75116
17ème arrondissement de Paris,79 officines,170000,5,75117
18ème arrondissement de Paris,77 officines,210000,4,75118
19ème arrondissement de Paris,40 officines,190000,2,75119
20ème arrondissement de Paris,56 officines,200000,3,75120
